Facility Name,Address,City,County,State,Zip,Township,Watershed,Animal 1 Species,Animal 1 Count,Animal 2 Species,Animal 2 Count
Ron Post Farms,850 Post Road,St. Henry,Mercer,OH,45883,Granville,05120101 - Upper Wabash,Chickens-Layers,300000,,
Rose Grove Farm,17325 Road 72,Grover Hill,Paulding,OH,45849,Latty,04100007 - Auglaize,Swine - over 55 lbs,2988,,
Ross-Medford Farms LLC,6183 SR 705,New Weston,Darke,OH,45348,Wabash,05120101 - Upper Wabash,Chickens-Layers,1817000,,
Sager Family Pork,2114 Carter Rd.,LaRue,Marion,OH,43332,Bowling Green,05060001 - Upper Scioto,Swine - over 55 lbs,5499,,
Schmidt Swine Farm,509 Borradaile Rd.,Eaton,Preble,OH,45320,Dixon,05080002 - Lower Great Miami,Swine - over 55 lbs,4800,,
Schoonover's Hill Top Farm,1167 OH-89,Ashland,Ashland,OH,44805,Perry,05040002 - Mohican,Chickens-Broilers,165000,,
"Schweinefarmen, LLC",6740 Road 72,Payne,Paulding,Ohio,45880,Benton,04100007 - Auglaize,Swine - over 55 lbs,4800,,
Schwieterman Egg Farm LLC,3690 Watkins Road,Ft. Recovery,Mercer,OH,45846,Granville,05120101 - Upper Wabash,Chickens-Layers,132000,,
Scioto Prairie,1001 Scioto Chapel Road,Bucyrus,Crawford,OH,44820,Bucyrus,04100011 - Sandusky,Swine - over 55 lbs,6652,,
Select Sires Hoyt PGA Center,15901 Middleburg Plain City Rd.,Plain City,Union,OH,43064,Darby,05060001 - Upper Scioto,Beef,1072,,
"Shaggy Apple Productions, LLC",10699 W. Smithville Western Rd.,Wooster,Wayne,OH,44691,Chester,05040002 - Mohican,Chickens-Broilers,210000,,
Sheldon Farms,9612 Twp. Road 64,Kenton,Hardin,OH,43326,Washington,04100007 - Auglaize,Swine - over 55 lbs,4000,,
"Shockney & Son, Inc.",6669 Ohio-Indiana State Line Road,Union City,Darke,OH,45390,Washington,05080001 - Upper Great Miami,Swine - over 55 lbs,4000,,
Siefring Farm,2564 Siegrist Jutte Rd,Ft. Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Swine - over 55 lbs,5760,Beef,130
"Silver Creek Dairy Farm, LLC",15681 State Route 67,Forest,Wyandot,OH,45843,Marseilles ,04100011 - Sandusky,Dairy,2272,,
"South Fork Dairy, LLC",8166 Lake Dr.,Newark,Licking,OH,43088,Licking,05040006 - Licking,Dairy,2375,,
"Spitnale Pig, Ltd.",21764 Rd. I 17,Cloverdale,Putnam,OH,45827,Perry,04100007 - Auglaize,Swine - over 55 lbs,4800,,
Straathof Sow Farm,28254 Egypt Pike Road,New Holland,Pickaway,OH,43145,Perry,05060003 - Paint,Swine - over 55 lbs,7968,,
"Straathof Swine, LLC",7111 Old US Route 35 SE,Washington Court House,Fayette,OH,43160,Wayne,05060003 - Paint,Swine - over 55 lbs,5760,,
"Strickler Farms, LLC",7600 Strickler Rd.,Amanda,Fairfield,OH,43102,Clear Creek,05030204 - Hocking,Swine - over 55 lbs,3500,Swine - under 55 lbs,1000
"Strong Farms LLC (formerly5 C's Farm, Inc.)",06083 Cicero Road,Hicksville,Defiance,OH,43526,Hicksville,04100005 - Upper Maumee,Beef,3020,,
ST-The Ohio Heifer Center,1000 Huntington Road,South Charleston,Clark,OH,45368,Madison,05090202 - Little Miami,Beef,9800,,
"Stucke Livestock (formerly Stucke Beef and Egg Farm, LLC",11451 State Route 185,Versailles,Darke,OH,45380,Wayne,05080001 - Upper Great Miami,Chickens-Layers,144400,Slaughter-Feeder-Heifer,1200
"Sugar Lane Dairy, LLC",5624 Elm Sugar Road,Convoy,Van Wert,OH,45832,Tully,04100007 - Auglaize,Dairy,2000,,
Sun Mountain Dairy LLC,18-377 County Road B,New Bavaria,Henry,OH,43548,Pleasant,04100007 - Auglaize,Dairy,1400,,
Sunny Side Farms,374 New Weston-Ft. Loramie Road,"Ft. Recovery, OH 45846",Darke,OH,45846,Mississinawa,05120103 - Mississinewa,Chickens-Layers,480000,,
T & N Farms,1567 State Route 219,Coldwater,Mercer,OH,45828,Washington,05120101 - Upper Wabash,Chickens-Layers,160320,,
"T2 Farm, Inc.",21425 N Benton West,North Benton,Mahoning,OH,44449,Smith,05030103 - Mahoning,Chickens-Broilers,135000,,
TCB Wendel Poultry,14830 Cochran Road,New Weston,Darke,Ohio,45348,Allen,05120101 - Upper Wabash,Chickens-Layers,300000,,
"Thistledown Racetrack, LLC",21501 Emery Road,North Randall,Cuyahoga,OH,44128,,04110002 - Cuyahoga,Horses,1050,,
Tillman Farms,14350 State Route 119,Anna,Shelby,OH,45302,Franklin,05080001 - Upper Great Miami,Swine - over 55 lbs,4000,,
Tim Sinn Family Hog Farm,13724 Road 82,Paulding,Paulding,OH,45879,Latty,04100007 - Auglaize,Swine - over 55 lbs,4800,,
Tobe Poultry Farm,1505 ST RT 49,Ft. Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Chickens-Layers,120000,,
"Topaz Real Estate, Inc. Farm 2 (pka Daylay Egg Farm 2)",26560 Storms Road,Raymond,Union,OH,43067,York,05060001 - Upper Scioto,Chickens-Layers,311500,,
"Triple R Farms, Inc.",11845 Gamble Road ,Van Wert,Van Wert,OH,45891,Ridge,04100007 - Auglaize,Swine - over 55 lbs,7200,,
Tuck Farms,7895 Parker Road,Bloomville,Crawford,OH,44818,Lykens,04100011 - Sandusky,Swine - over 55 lbs,4400,,
"Tuente Farms, Inc",8500 Darke-Shelby County Line Road,Yorkshire,Shelby,OH,45388,Cynthian,05080001 - Upper Great Miami,Swine - over 55 lbs,5783,,
Twin Oak Dairy LLC,14380 Charleston Chillicothe Road,South Solon,Madison,OH,43153,Stokes,05060003 - Paint,Dairy,2050,,
Unrast Poultry,8758 State Route 119,Maria Stein,Mercer,OH,45860,Marion,05120101 - Upper Wabash,Chickens-Layers,192000,Slaughter-Feeder-Heifer,385
"V.I.Z. Poultry, Inc.",4129 Brandy Road,Homeworth,Columbiana,OH,44634,Knox,05030103 - Mahoning,Chickens-Broilers,135000,,
Van Erk Dairy,8789 State Route 114,Haviland,Paulding,OH,45851,Blue Creek,04100007 - Auglaize,Dairy,2000,,
Van Raay Dairy Farm,12471 Thomas Road,South Charleston,Clark,OH,45368,Harmony,05090202 - Little Miami,Dairy,2800,,
"Vandenhengel Pork, LLC",1416 John Yoh Road,Scott,Van Wert,OH,45886,Hoaglin,04100007 - Auglaize,Swine - over 55 lbs,7350,,
VanderMade Dairy LLC,11314 McCavit Road,Sherwood,Defiance,OH,43556,Farmer,04100006 - Tiffin,Dairy,1800,,
Veitch Farms,3105 SR 121,Greenville,Darke,OH,45331,Neave,05080001 - Upper Great Miami,Swine - under 55 lbs,12000,,
Vissers Dairy,09711 Breininger Road,Mark Center,Defiance,OH,43536,Mark,04100005 - Upper Maumee,Dairy,1600,,
Vrieco Farms Ltd (formerly known as Frisian Hijma Dairy),12464 Twp Rd 100,Kenton,Hardin,OH,43326,Pleasant,04100008 - Blanchard,Dairy,825,,
"Wagner Pork, LLC",7988 County Road 29,Upper Sandusky,Wyandot,OH,43351,Tyemochte,04100011 - Sandusky,Swine - over 55 lbs,3750,,
Wallace Farms,16241 Louisville Street,Homeworth,Stark,OH,44634,Washington,05040001 - Tuscarawas,Swine - over 55 lbs,3300,,
Warnock Poultry,196 Fox Road,Ft. Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Chickens-Layers,299563,,
Weaver A-1 Farm,10638 St. Rt. 47,Versailles,Darke,OH,45380,Wayne,05080001 - Upper Great Miami,Chickens-Layers,1837920,,
Weaver Dew Fresh Farm,10069 Christian Road,Versailles,Darke,OH,45380,Wayne,05080001 - Upper Great Miami,Chickens-Layers,1638355,,
Weaver Pullet Farm,11341 Cramer Road,Versailles,Darke,OH,45380,Wayne,05080001 - Upper Great Miami,Chicken-Pullets,936000,,
Weaver Stillwater Pullet Farm ,9519 Siebt Road,Bradford,Darke,OH,45308,Adams,05090202 - Little Miami,Chicken-Pullets,614400,,
Weitzel Farms,14872 Ft. Recovery Hillgrove Rd.,Ft. Recovery,Darke,OH,45846,Mississinawa,05120101 - Upper Wabash,Chickens-Layers,220560,Swine - over 55 lbs,560
Wenning Poultry Farm,1500 Union City Road,Ft. Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Chicken-Pullets,125000,Chickens-Layers,2000000
"West Side Dairy (formerly Zylstra Dairy, LTD)",11753 Road 21,Antwerp,Paulding,OH,45813,Harrison,04100005 - Upper Maumee,Dairy,1400,,
"Wezbra Dairy, LLC",15257 Road C,Continental,Putnam,OH,45831,Palmer,04100007 - Auglaize,Dairy,1540,Slaughter-Feeder-Heifer,155
White Oak Farm,4604 Road 165,Grover Hill,Paulding,OH,45849,Washington,04100007 - Auglaize,Swine - over 55 lbs,2776,,
Wildcat Dairy,3315 State Route 114,Payne,Paulding,OH,45880,Benton,04100007 - Auglaize,Dairy,1102,,
Wilker Eggs and Grain Farm LLC,10675 Tri Township Rd.,Saint Marys,Auglaize,OH,45885,St.Marys,04100004 - St. Marys,Chickens-Layers,317151,,
Wilker Family Farms,05087 County Rd. 33A,St. Marys,Auglaize,OH,45883,St.Marys,04100004 - St. Marys,Chicken-Pullets,210000,,
"Willow Tree Swine, LLC",4126 Township Rd. 49,Payne,Paulding,OH,45880,Benton,04100007 - Auglaize,Swine - over 55 lbs,9600,,
Woodbury Hogs,10697 Ohio-Indiana State Line Road,Union City,Darke,OH,45390,Jackson,05120103 - Mississinewa,Swine - over 55 lbs,3840,,
Worden Farms,111 Goldsmith Rd.,Caledonia,Crawford,OH,43314,Whetstone,05060001 - Upper Scioto,Swine - over 55 lbs,4620,,
Wuebker Farm,2129 Wuebker Road,Maria Stein,Mercer,OH,45860,Marion,05120101 - Upper Wabash,Chickens-Layers,305568,Slaughter-Feeder-Heifer,400
Wuebker-School Rd. Facility,13968 School Rd.,Ft.Recovery,Darke,OH,46843,Mississinawa,05120103 - Mississinewa,Swine - under 55 lbs,3840,,
"Ynot Farms, LLC",750 Counts Road,South Solon,Madison,OH,43153,Range,05060003 - Paint,Swine - over 55 lbs,5465,Swine - under 55 lbs,9792
