"Michigan NPDES CAFO (General, Individual, and No Potential to Discharge) Permits as of Dec. 31, 2016",,,,,,,,,,,,,,,,,,,,,
CAFO Number,Permit Number,Permittee Name,Site Name*,Site Address 1,Site Address 2,Site City,Site State,Site Zip Code, Dairy/Dry Cows/Heifers , Beef Cattle/Veal Calves , Swine (All wgts.) , Layers/Broilers/Pullets , Turkeys , Total Animals ," Total CAFO waste,
gals. (liquid) "," Subsidies
1995-2014 "," MI Enforcement Actions
through 2016 ",County,Watershed,"Congressional
District",Additional Names/Previous Owners and Subsidy/MI Enforcement Action Recipients
105,MIG010028,Tim & Kathy Howell,Howell Farms-CAFO,7740 Deckerville Road,NULL,Fairgrove,MI,48733,,,"  9,000 ",,,"  9,000 ","  2,797,814 "," $ 331,684 ",2,Tuscola,SW Lake Huron,5,
106,MI0058888,"Hudson Dairy, LLC",Hudson Dairy-CAFO,8502 S Meridian Rd,NULL,Hudson,MI,49247,"  3,505 ",,,,,"  3,505 ","  41,237,218 ",,2,Hillsdale,W Lake Erie,7,"Hudson Dairy LLC, Southern Michigan Dairies II, Southern Michigan Dairies LLC"
107,MIG010013,"Huron Pork, LLC",Huron Pork-CAFO,6735 East Polk Road,NULL,Ithaca,MI,48847,,,"  3,306 ",,,"  3,306 ","  2,728,975 ",,1,Gratiot,Saginaw,4,"Huron Pork, LLC, Lafayette Pork Production, Lafayette Pork Production LLC"
108,MIG010125,Wendell Loew,Indian Trail Farms-CAFO,4780 Loew Rd.,NULL,Byron Center,MI,49315,"  1,275 ",,,,,"  1,275 ","  10,903,251 "," $ 1,380,883 ",1,Allegan,SE Lake Michigan,6,Indian Trails Farm
109,MIG010157,Bret C. Schapman,Ingleside Farms-CAFO,8891 36 Mile Rd,NULL,Romeo,MI,48065,,"  2,375 ",,,,"  2,375 ","  2,607,229 "," $ 1,877,027 ",0,Macomb,St. Clair-Detroit,10,
110,MIG010180,J & J Russcher Properties LLC,J & J Russcher Prop LLC-CAFO,A-4777 40th Street,NULL,Zeeland,MI,49464,,,"  4,800 ",,,"  4,800 ","  1,809,630 ",,0,Allegan,SE Lake Michigan,6,"J & J Russcher Properties LLC, Jeff Russcher Farm "
111,MIG010020,J and A Pork LLC,J and A Pork-CAFO,5774 Fenwick Rd,NULL,Greenville,MI,48838,,,"  4,800 ",,,"  4,800 ","  2,300,000 ",,4,Montcalm,SE Lake Michigan,3,J & A Pork LLC
112,MIG010241,Jahn Farms,Jahn Farms-CAFO,5255 Finkle Road,NULL,Port Hope,MI,48468,,,"  2,850 ",,,"  2,850 ","  951,456 ",,0,Huron,SW Lake Huron,10,"Slat Barns 1, 2, and 3"
113,MI0059696,"Rod Janose, Owner",Janose Farms-CAFO,2496 Bender Road,NULL,Middleville,MI,49333,,,"  1,500 ",,,"  1,500 ","  573,000 "," $ 124,588 ",0,Barry,SE Lake Michigan,3,
114,MI0057979,"JBC Dairy Recycling, LLC",JBC Dairy Recycling-CAFO,3922 147th Avenue,NULL,Zeeland,MI,49464,,  500 ,,,,  500 ,"  925,347 ",,7,Allegan,SE Lake Michigan,6,"JBC Dairy Recycling LLC, Midwest Veal, Midwest Veal LLC"
115,MIG010151,Jeremy Frahm,Jeremy Frahm Hogs-CAFO,8865 West Caro Rd,NULL,Reese,MI,48757,,,"  3,000 ",,,"  3,000 ","  1,195,200 ",,3,Tuscola,SW Lake Huron,5,Jeremy Frahm Hog Facility-CA
116,MIG010227,Max Carlson,JMax LLC-CAFO,3154 South Green Avenue,NULL,Fremont,MI,49412,"  1,400 ",,,,,"  1,400 ","  15,900,000 "," $ 38,426 ",0,Newaygo,NE Lake Michigan,2,Jmax Dairy
117,MIG010103,John Schaendorf,John Schaendorf Dairy-CAFO,2730 130th Avenue,NULL,Allegan,MI,49010,"  5,400 ",,,,,"  5,400 ","  37,879,712 "," $ 606,961 ",7,Allegan,SE Lake Michigan,6,
118,MIG010189,Jus-A-Pig LLC,Jus-A-Pig-CAFO,7411 Roosevelt Road,NULL,Middleton,MI,48856,,,"  4,800 ",,,"  4,800 ","  978,000 ",,1,Gratiot,SE Lake Michigan,4,Jus-A-Pig LLC
119,MIG010077,Karnemaats LLC,Karnemaats LLC-CAFO,8797 Warner Road,NULL,Fremont,MI,49412,,,"  4,000 ",,,"  4,000 ","  1,634,993 "," $ 252,359 ",12,Newaygo,NE Lake Michigan,2,
120,MIG010008,"Keith Hanenburg, dba KH Farms",KH Farms-CAFO,9997 Leonard Street,NULL,Coopersville,MI,49404,,,"  5,000 ",,,"  5,000 ","  2,271,129 "," $ 80,118 ",3,Ottawa,SE Lake Michigan,2,
121,MIG010104,Kleinheksel Farms,Kleinheksel Farms-CAFO,A-5124 138th Ave.,NULL,Holland,MI,49423,,,"  9,600 ",,,"  9,600 ","  2,050,500 "," $ 572,091 ",0,Allegan,SE Lake Michigan,6,
122,MIG010055,Brad Kober,Kober Farms LLC-CAFO,2975 9 Mile Road,NULL,Sparta,MI,49345,,,"  4,000 ",,,"  4,000 ","  1,319,308 "," $ 52,446 ",0,Kent,SE Lake Michigan,3,
123,MI0058561,"Konos, Inc.",Konos Inc-CAFO,1240 8th Street,NULL,Martin,MI,49070,,,,"  1,866,000 ",,"  1,866,000 ","  5,588,434 "," $ 1,068,717 ",171,Allegan,SE Lake Michigan,6,"Konos Incorporated, Vande Bunte Eggs"
124,MI0059676,Konos Inc.,Konos-Martins Organics-CAFO,North side of 110th Ave.,NULL,Otsego,MI,49078,,,,"  600,000 ",,"  600,000 ","  3,347,543 ",,0,Allegan,SE Lake Michigan,6,"Konos, Inc, Martin's Organics"
125,MIG010142,Koster Dairy,Koster Dairy-CAFO,1689 7 Mile Road,NULL,Falmouth,MI,49632,"  1,500 ",,,,,"  1,500 ","  21,302,950 "," $ 234,144 ",5,Missaukee,NE Lake Michigan,4,
126,MIG010161,Peter Kurncz,Kurncz Farms - CAFO,4100 Gilson Road,NULL,Saint Johns,MI,48879,"  3,000 ",,,,,"  3,000 ","  20,746,988 "," $ 1,050,256 ",4,Clinton,SE Lake Michigan,4,"Kurncz Farms, Incorporated"
127,MIG010221,Ryan Hunter,KY10 Farms-CAFO,16187 East S Avenue,NULL,Fulton,MI,49052,,,"  5,000 ",,,"  5,000 ","  3,205,000 ",,0,Kalamazoo,SE Lake Michigan,6,
128,MIG010064,Bill Laier,Laier Farms-CAFO,7416 Argentine Road,NULL,Howell,MI,48855,"  2,355 ",,,,,"  2,355 ","  8,124,096 "," $ 366,127 ",2,Livingston,Saginaw,8,"Laier Farms, Inc."
129,MIG010115,Legend Dairy,Legend Dairy-CAFO,8460 W Mulberry Rd,NULL,Morenci,MI,49256,"  2,000 ",,,,,"  2,000 ","  17,877,108 "," $ 1,074,420 ",2,Lenawee,W Lake Erie,7,"Bruinsma Dairy Farms, Incorporated"
130,MIG010036,Les Schaper,Les Schaper Farm-CAFO,2167 South Caseville Road,NULL,Pigeon,MI,48755,,,"  3,300 ",,,"  3,300 ","  1,300,000 ",,0,Huron,SW Lake Huron,10,Schaper Farms
131,MIG010139,"Liberty Farms, LLC",Liberty Beef Farms-CAFO,8147 AB Avenue,NULL,Richland,MI,49083,,"  1,990 ",,,,"  1,990 ","  6,343,844 ",,0,Kalamazoo,SE Lake Michigan,6,
132,MIG010219,"Little Arrow Farms, LLC",Little Arrow Farms-CAFO,321 Lyter Road,NULL,Bronson,MI,49028,,,,"  136,000 ",,"  136,000 ","  192,048 "," $ 4,467 ",0,Branch,SE Lake Michigan,7,
133,MIG010233,Matt Breithaupt,Long Acre Farm-CAFO,Karlin Rd between Ramsay and Steed Rd,NULL,Buckley,MI,49520,,,"  4,500 ",,,"  4,500 ","  1,000,000 "," $ 127,201 ",0,Grand Traverse,NE Lake Michigan,1,
134,MIG010225,Ryan Hunter,Lucky 7 Farms LLC-CAFO,1944 W Avenue,NULL,Fulton,MI,49052,,,"  5,000 ",,,"  5,000 ","  3,015,700 ",,0,Kalamazoo,SE Lake Michigan,6,
135,MIG010140,Darren Bailey,M&D Farms - CAFO,12515 S. 10th St.,NULL,Schoolcraft,MI,49087,,,"  3,000 ",,,"  3,000 ","  2,313,530 ",,1,Kalamazoo,SE Lake Michigan,6,Smith & Son Hogs
136,MINPTD014,"Makin Bacon Farm, LLC2",Makin Bacon Farm LLC-CAFO,22823 Roys Road,NULL,Centreville,MI,49032,,,"  9,600 ",,,"  9,600 ","  2,200,000 ",,0,St. Joseph,SE Lake Michigan,6,
137,MIG010023,Jerry & Ryan Malburg,Malburg Malac LLC-CAFO,1107 West Jackson Road,NULL,Hart,MI,49420,,,"  8,000 ",,,"  8,000 ","  1,293,330 "," $ 1,387 ",2,Oceana,NE Lake Michigan,2,
138,MIG010176,Many Blessings Dairy,Many Blessings Dairy - CAFO,7742 South Lucas Road,NULL,McBain,MI,49657,"  2,585 ",,,,,"  2,585 ","  12,702,575 "," $ 198,254 ",5,Missaukee,NE Lake Michigan,4,
139,MIG010262,"Joe Fabus, Maple Pork, LLC",Maple Pork-CAFO,S Blair Rd,NULL,Ashley,MI,48806,,,"  4,200 ",,,"  4,200 ","  2,140,000 "," $ 532,830 ",0,Gratiot,SE Lake Michigan,4,
140,MIG010091,Maple Row Dairy,Maple Row Dairy-CAFO,113 Lee Rd,NULL,Saranac,MI,48881,"  4,115 ",,,,,"  4,115 ","  37,109,639 "," $ 3,097,402 ",8,Ionia,SE Lake Michigan,3,
141,MI0058707,David Lott - Mar Jo Lo Farms,Mar Jo Lo Farms-CAFO,1655 N. Meridian Rd.,NULL,Mason,MI,48854,"  1,150 ",,,,,"  1,150 ","  5,147,020 ",,0,Ingham,SE Lake Michigan,8,
142,MI0059294,Meadow Rock LLC,Mayflower Dairy LLC-CAFO,"62nd Street, 1300 ft south of 74th Avenue",on the West Side of 62nd Street,Hartford,MI,49057,"  3,499 ",,,,,"  3,499 ","  45,945,743 ",,0,Van Buren,SE Lake Michigan,6,
143,MIG010054,McKenzie Reed Farms LLC,McKenzie Reed Farms-CAFO,55150 Miller Road,NULL,Marcellus,MI,49067,,,"  13,628 ",,,"  13,628 ","  3,348,783 "," $ 45,590 ",3,Cass,SE Lake Michigan,6,McKenzie Reed Farms LLC
144,MIG010257,"Tony Jandernoa, Meadow Brook Dairy",Meadow Brook Dairy-CAFO,333 E Tupperlake Rd,NULL,Lake Odessa,MI,48849,"  3,450 ",,,,,"  3,450 ","  42,000,000 ",,0,Ionia,SE Lake Michigan,3,
145,MIG010136,"Meadow Rock Dairy, LLC",Meadow Rock Dairy-CAFO,7691 Russell Road,NULL,Greenville,MI,48838,"  2,535 ",,,,,"  2,535 ","  33,612,132 ",,3,Montcalm,SE Lake Michigan,4,
146,MIG010137,Meadowbrook Farms LLC,Meadowbrook Farms LLC-CAFO,4037 43rd.,NULL,Holland,MI,49423,,,"  11,600 ",,,"  11,600 ","  2,697,000 ",,4,Allegan,SE Lake Michigan,6,
147,MI0057473,"Medina Dairy, LLC",Medina Dairy-CAFO,7601 Dillion Hwy,NULL,Hudson,MI,49247,"  3,505 ",,,,,"  3,505 ","  41,820,982 ",,22,Lenawee,W Lake Erie,7,"Medina Dairy LLC, Southern Michigan Dairies, Southern Michigan Dairy I, Vreba Hoff Dairy, Vreba Hoff Dairy I "
148,MIG010198,Mibelloon Dairy LLC,Mibelloon Dairy-CAFO,4071 SW County Line Rd,NULL,St. Louis,MI,48880,"  3,410 ",,,,,"  3,410 ","  31,500,000 "," $ 499,757 ",4,Midland,Saginaw,4,
149,MIG010035,Norm Mihills,Mihills Farm-CAFO,60770 Patterson Hill Rd.,NULL,Jones,MI,49061,,,"  6,000 ",,,"  6,000 ","  1,423,500 "," $ 515,066 ",0,Cass,SE Lake Michigan,6,MiHill Farm
150,MIG010236,Bart DeSaegher,Milk Star LLC-CAFO,"Section 18 Hamilton Township, SW Corner",NULL,Middleton,MI,48856,"  1,000 ",,,,,"  1,000 ","  1,000,000 ",,0,Gratiot,SE Lake Michigan,4,"Milkstar, LLC"
151,MI0059123,Miller Poultry Investments LLC,Miller Poultry-CAFO,774 Greenfield Road,NULL,Bronson,MI,49028,,,,"  270,000 ",,"  270,000 ","  378,554 ",,0,Branch,SE Lake Michigan,7,
152,MIG010006,Nathan Duflo,Nathan Duflo Farm-CAFO,Nelson Rd just west of Osborn,NULL,Carson City,MI,48811,,,"  5,000 ",,,"  5,000 ","  1,800,000 ",,1,Gratiot,SE Lake Michigan,4,
153,MI0058102,"New Flevo Dairy, Incorporated",New Flevo Dairy-CAFO,9717 Forrister Road,NULL,Adrian,MI,49221,"  4,000 ",,,,,"  4,000 ","  29,337,349 "," $ 507,211 ",4,Lenawee,W Lake Erie,7,New Flevo Dairy Incorporated
154,MIG010171,"Neyer Farms, Inc.",Neyer Farms Inc-CAFO,168 East Wing Road,NULL,Mount Pleasant,MI,48858,"  1,250 ",  30 ,,,,"  1,280 ","  6,000,000 "," $ 562,453 ",5,Isabella,Saginaw,4,Neyer Dairy Farm
155,MI0059149,Rob Nobel,Nobel Family Dairy LLC-CAFO,25360 12th Avenue,NULL,Gobles,MI,49055,  890 ,,,,,  890 ,"  7,307,200 "," $ 58,573 ",0,Van Buren,SE Lake Michigan,6,
156,MIG010058,Nobis Dairy Farms,Nobis Dairy Farms-CAFO,5813 West Walker Road,NULL,Saint Johns,MI,48879,"  1,935 ",,,,,"  1,935 ","  21,665,358 "," $ 1,786,330 ",0,Clinton,SE Lake Michigan,4,H & D Dairy
157,MIG010113,Northpoint Dairy,Northpoint Dairy-CAFO,3896 Fitzgerald Road,NULL,Fremont,MI,49412,"  1,255 ",,,,,"  1,255 ","  12,320,145 "," $ 403,621 ",7,Newaygo,NE Lake Michigan,2,
158,MIG010042,Martin Travis3,NVF Inc-CAFO,11691 East Walton Road,NULL,Shepherd,MI,48883,,  490 ,,,,  490 ,"  9,357,694 ",,,Isabella,Saginaw,4,"North Valley Farms, Inc."
158,MIG010041,Martin Travis,NVF Inc-CAFO,11691 East Walton Road,NULL,Shepherd,MI,48883,"  2,760 ",,,,,"  2,760 ","  111,370,500 "," $ 266,757 ",3,Isabella,Saginaw,4,"North Valley Farms, Inc."
159,MIG010129,Al Oomen,OHH Pork-CAFO,6558 South Custer Road,NULL,Custer,MI,49405,,,"  4,200 ",,,"  4,200 ","  1,653,413 "," $ 108,659 ",0,Mason,NE Lake Michigan,2,OHH Pork LLC
160,MIG010001,"Oomen Brothers, Incorporated",Oomen Bros Hogs - CAFO,1/4 mile west of South Custer on Sippy Road,NULL,Hart,MI,49420,,,"  4,000 ",,,"  4,000 ","  1,335,531 "," $ 479,267 ",2,Mason,NE Lake Michigan,2,
161,MIG010079,Tom & Rick Oomen,Oomen Farms Ltd-CAFO,6503 Stiles Road,NULL,Pentwater,MI,49449,,,"  3,000 ",,,"  3,000 ","  1,128,268 "," $ 491,322 ",7,Mason,NE Lake Michigan,2,
162,MI0058448,Harold Walcott,Ottawa Farms LLC,11306 Polk Street,NULL,Holland,MI,49423,,,,,"  99,685 ","  99,685 ","  3,361,446 ",,0,Ottawa,SE Lake Michigan,2,"112th Avenue Turkey Farm, Ottawa Turkey Farm, Ottawa Turkey Farm-112th-CAFO"
163,MINPTD009,"Ottawa Turkey Farm, LLC2",Ottawa Turkey-The Hills-CAFO,8660 136th,NULL,West Olive,MI,49460,,,,,"  70,380 ","  70,380 ","  768,193 "," $ 173,250 ",0,Ottawa,SE Lake Michigan,2,The Hills Turkey Farm
164,MIG010016,P & G Farm,P & G Farm-CAFO,9304 N. Berridge Road,NULL,Belvidere,MI,48886,,,"  2,800 ",,,"  2,800 ","  1,174,849 ",,1,Montcalm,SE Lake Michigan,4,P & G Pork
165,MIG010034,Packard Farms,Packard Farms-CAFO,6584 South Brand Avenue,NULL,Clare,MI,48617,"  3,050 ",,,,,"  3,050 ","  35,531,325 "," $ 1,219,871 ",8,Clare,Saginaw,4,
166,MIG010149,Palms Boys LLC Dairy,Palms Boys Dairy - CAFO,6330 Rangeline Road,NULL,Palms,MI,48465,"  2,400 ",,,,,"  2,400 ","  11,176,024 "," $ 805,544 ",1,Sanilac,SW Lake Huron,10,"GT & L Vogel Dairy, Palms Boys LLC Dairy"
167,MIG010160,"Paramount Enterprises, LLC",Paramount Enterprises-CAFO,2647 East Caro Road,NULL,Caro,MI,48723,"  2,200 ",,,,,"  2,200 ","  19,829,442 "," $ 147,871 ",2,Tuscola,Saginaw,10,Paramount Enterprises LLC
168,MIG010179,Denis Burke,Parisville Dairy-CAFO,3657 Parisville Rd,NULL,Ruth,MI,48470,"  1,650 ",,,,,"  1,650 ","  16,883,860 "," $ 235,582 ",3,Huron,SW Lake Huron,10,
169,MIG010150,Parkville Prairie Farms,Parkville Prairie Farms-CAFO,51344 Parkville Rd,NULL,Three Rivers,MI,49093,,,"  4,400 ",,,"  4,400 ","  1,858,402 ",,2,St. Joseph,SE Lake Michigan,6,"Parkville Prairie Farms Facility (Headquarters), Parkville Prairie Farms-Lang Road, Parkville Road Facility, Pinhook Road Facility"
170,MIG010211,Ryan Hunter,Payla Meadows LLC-CAFO,14570 27th Street,NULL,Vicksburg,MI,49097,,,"  5,000 ",,,"  5,000 ","  1,715,000 ",,0,Kalamazoo,SE Lake Michigan,6,
171,MIG010209,"Dan Jager, Terry Smit & Keith Smit",Peaceful Road Farms-CAFO,2125 9th Street,NULL,Shelbyville,MI,49344,"  1,550 ",,,,,"  1,550 ","  37,770,224 "," $ 653,111 ",2,Allegan,SE Lake Michigan,6,Peaceful Road Farms Incorporated
172,MIG010226,Adam Cornell,Performance Farms LLC-CAFO,1944 17-Mile Road,NULL,Remus,MI,49340,,,"  2,400 ",,,"  2,400 ","  645,372 ",,0,Mecosta,Saginaw,4,
173,MIG010062,Randy Petroshus,Petro Farms-CAFO,3545 102nd Ave.,NULL,Gobles,MI,49055,"  1,437 ",,,,,"  1,437 ","  20,001,096 "," $ 663,755 ",7,Allegan,SE Lake Michigan,6,
174,MIG010239,"Brant Ryzebol, Owner",Pine Row Dairy LLC-CAFO,492 S. Pinnebog Rd,NULL,Bad Axe,MI,48413,"  1,400 ",,,,,"  1,400 ","  18,494,550 ",,0,Huron,SW Lake Huron,10,Falco
175,MIG010148,Randall Poll,Poll Farm Inc-CAFO,4406 134th Avenue,NULL,Hamilton,MI,49419,,,"  12,000 ",,,"  12,000 ","  3,029,867 "," $ 893,530 ",0,Allegan,SE Lake Michigan,6,Poll Farm Incorporated
176,MIG010123,John Vander Dussen,Prairie View Dairy LLC-CAFO,12850 Parker Road,NULL,Delton,MI,49046,"  2,650 ",,,,,"  2,650 ","  22,995,064 "," $ 175,499 ",7,Barry,SE Lake Michigan,3,
177,MIG010086,Dennis Russcher,Precision Pork Farm-CAFO,5014 Perry St.,NULL,Zeeland,MI,49464,,,"  8,600 ",,,"  8,600 ","  5,187,750 "," $ 202,500 ",0,Ottawa,SE Lake Michigan,2,
178,MIG010050,Home site,Precision Pork LLC-CAFO,8051 Herring Rd,NULL,Litchfield,MI,49252,,,"  5,910 ",,,"  5,910 ","  1,918,465 ",,0,Hillsdale,SE Lake Michigan,7,"Homesite, Precision Pork Site"
179,MIG010208,Phil Russcher,Preferred Hog-CAFO,5136 146th Ave.,NULL,Holland,MI,49423,,,"  6,350 ",,,"  6,350 ","  3,300,000 "," $ 787,313 ",0,Ottawa,SE Lake Michigan,2,"Preferred Hog Farms, Inc., Preferred Hog Main"
180,MIG010099,Preston Farms,Preston Farms Hogs-CAFO,1220 Central Rd,NULL,Quincy,MI,49082,,,"  4,000 ",,,"  4,000 ","  2,992,500 "," $ 460,734 ",6,Branch,SE Lake Michigan,7,
181,MIG010105,Pridgeon Farms,Pridgeon Farms-CAFO,1115 Pridgeon Rd,NULL,Montgomery MI,MI,49255,,,"  13,500 ",,,"  13,500 ","  8,900,000 "," $ 2,198,662 ",0,Branch,SE Lake Michigan,7,
182,MIG010124,PSY Farms,PSY Farms,4326 US 12,NULL,Three Oaks,MI,49128,,,"  4,000 ",,,"  4,000 ","  2,463,500 "," $ 2,449,746 ",1,Berrien,SE Lake Michigan,6,N & N Farms
183,MIG010009,Rusty Shafer,R Shafer Hog-CAFO,126th Avenue between Adams and Jefferson,NULL,Hart,MI,49420,,,"  4,000 ",,,"  4,000 ","  1,327,181 "," $ 52,972 ",3,Oceana,NE Lake Michigan,2,R. Shafer Hog Farm
184,MIG010263,"Ryan Hunter, R&R Pork",R&R Pork-CAFO,25430 Featherstone Road,NULL,Sturgis,MI,49019,,,"  5,000 ",,,"  5,000 ","  2,184,960 ",,0,St. Joseph,SE Lake Michigan,6,
185,MIG010045,Brian Ingram,Rathmourne Dairy 1-CAFO,2080 Grindstone Rd,NULL,Port Austin,MI,48467,  950 ,,,,,  950 ,"  12,856,990 "," $ 110,834 ",0,Huron,SW Lake Huron,10,Rathmourne Dairy #1
186,MIG010022,Brian Ingram,Rathmourne Dairy 2-CAFO,4877 Moeller Rd and 5751 Huron City Rd,NULL,Port Hope,MI,48468,"  3,490 ",,,,,"  3,490 ","  57,931,743 ",,0,Huron,SW Lake Huron,10,Rathmourne Dairy #2
187,MIG010181,Brian Ingram,Rathmourne Dairy 4 - CAFO,2361 McGill Rd,NULL,Marlette,MI,48453,"  3,000 ",,,,,"  3,000 ","  44,522,000 ",,1,Sanilac,Saginaw,10,Rathmourne Dairy #4
188,MIG010065,Brian Ingram,Rathmourne Dairy 5-CAFO,5071 Robinson Rd,NULL,Cass City,MI,48726,"  3,400 ",,,,,"  3,400 ","  36,832,881 "," $ 306,480 ",2,Sanilac,Saginaw,10,"Brent Morell Dairy, Brent Horell Farms, Moohaven Dairy, Rathmourne Dairy #5"
189,MIG010088,Ray Krieger,Ray Krieger-CAFO,2640 Chickering Road,NULL,Belding,MI,48809,,,"  8,800 ",,,"  8,800 ","  2,421,250 "," $ 467,331 ",3,Ionia,SE Lake Michigan,3,Krieger Farm
190,MIG010182,Lloyd Rayner,Rayner Farms-CAFO,8170 Deckerville Rd,NULL,Fairgrove,MI,48733,,,"  4,000 ",,,"  4,000 ","  1,200,000 ",,0,Tuscola,SW Lake Huron,5,
191,MIG010210,Red Arrow Dairy LLC,Red Arrow Dairy-CAFO,69444 County Road 687,NULL,Hartford,MI,49057,"  4,042 ",,,,,"  4,042 ","  26,917,308 "," $ 25,057 ",1,Van Buren,SE Lake Michigan,6,"Hartford Dairy, Hartford Dairy Farm, Red Arrow Dairy Farm"
192,MIG010193,Redstone Dairy LLC,Redstone Dairy-CAFO,4715 S. County Line Rd,NULL,St. Louis,MI,48880,"  1,550 ",,,,,"  1,550 ","  9,200,000 "," $ 67,964 ",0,Midland,Saginaw,4,
193,MIG010118,Rich Ro Farms,Rich Ro Farms/Rich Ro North-CAFO,8317 West Colony Road,NULL,Saint Johns,MI,48879,"  3,300 ",,,,,"  3,300 ","  40,236,145 "," $ 1,883,136 ",0,Clinton,SE Lake Michigan,4,
194,MIG010196,"Al Riedstra, dba Riedstra Dairy Ltd.",Riedstra Dairy-CAFO,55575 Frank Jones Road,NULL,Mendon,MI,49072,"  3,200 ",  200 ,,,,"  3,400 ","  261,282,150 "," $ 1,032,568 ",5,St. Joseph,SE Lake Michigan,6,"Al Riedstra, Riedstra Dary Ltd."
195,MIG010127,Keith Edward Hanenburg4,River Ridge Farms-CAFO,"15585 68th Avenue, 17228 72nd Ave.","6949 Osborn, Allendale,",Coopersville,MI,49404,,  420 ,,,,  420 ,"  1,132,785 ",,,Ottawa,SE Lake Michigan,2,"River Ridge - Johnson Farm; River Ridge Dairy Company, Incorporated; River Ridge Farms, Incorporated"
195,MIG010127,Keith Edward Hanenburg,River Ridge Farms-CAFO,"15585 68th Avenue, 17228 72nd Ave.","6949 Osborn, Allendale,",Coopersville,MI,49404,"  2,827 ",,,,,"  2,827 ","  2,020,568 "," $ 1,492,661 ",5,Ottawa,SE Lake Michigan,2,"River Ridge - Johnson Farm; River Ridge Dairy Company, Incorporated; River Ridge Farms, Incorporated"
196,MIG010132,"Dykhuis Farms, Inc.5",Riverbend-CAFO,1500 84th Ave.,NULL,Zeeland,MI,49464,,,"  3,705 ",,,"  3,705 ","  5,342,995 "," $ 804,645 ",0,Ottawa,SE Lake Michigan,2,
197,MIG010231,"Fred Walcott, Owner",Riverton Farm-CAFO,3430 Stiles Rd.,NULL,Scottville,MI,49454,,,"  8,000 ",,,"  8,000 ","  2,524,564 ",,0,Mason,NE Lake Michigan,2,
198,MI0058543,Robert Hardy & Sons,Robert Hardy & Sons-CAFO,1483 Lee Road,NULL,Saranac,MI,48881,,"  1,350 ",,,,"  1,350 ","  4,400,000 "," $ 1,002,430 ",0,Ionia,SE Lake Michigan,3,
199,MIG010223,Roger Stamp Farms,Roger Stamp Farms-CAFO,13753 Teasdale Lake Street,16693 Brownsville Road,Vandalia,MI,49095,,,"  7,000 ",,,"  7,000 ","  3,593,850 ",,1,Cass,SE Lake Michigan,6,
200,MIG010146,Merle Coffey,Rolling Acres Dairy-CAFO,2748 30th Street,NULL,Allegan,MI,49010,"  1,315 ",,,,,"  1,315 ","  6,928,265 "," $ 603,605 ",3,Allegan,SE Lake Michigan,6,
201,MI0059207,Jake Zwemmer,Roto-Z Dairy LLC-CAFO,3309 Vatter Road,NULL,Snover,MI,48472,"  3,480 ",,,,,"  3,480 ","  22,144,205 ",,2,Sanilac,Saginaw,10,Roto-Z Dairy Mushroom Rd.
202,MIG010007,Mervyn Roundtree,Roundtree Dairy Farms-CAFO,3232 Farver Road,NULL,Pigeon,MI,48755,"  1,280 ",,,,,"  1,280 ","  17,538,928 "," $ 177,244 ",1,Huron,SW Lake Huron,10,
203,MIG010159,Mervyn Roundtree,Roundtree Dairy Hartsell-CAFO,4881 Hartsell Rd.,NULL,Owendale,MI,48754,"  1,241 ",,,,,"  1,241 ","  5,359,578 ",,0,Huron,SW Lake Huron,10,"Mervyn Roundtree Hartsell, Mervyn Roundtree Hartsell Rd., Roundtree Dairy, Roundtree Dairy - Grant Twp."
204,MIG010152,Rudat Farms,Rudat Farms-CAFO,11440 Stone Road,NULL,Fowler,MI,48835,"  1,800 ",,,,,"  1,800 ","  4,300,000 ",,4,Clinton,SE Lake Michigan,4,
205,MIG010253,Ruggles Beef Farms,Ruggles Beef Farms,5721 E. Sanilac Rd.,NULL,Kingston,MI,48741,,"  1,450 ",,,,"  1,450 ","  5,460,197 "," $ 1,081,648 ",2,Tuscola,Saginaw,10,
206,MIG010010,Ryzebol Dairy,Ryzebol Dairy-CAFO,2190 N Squires Rd,NULL,Bailey,MI,49303,"  3,500 ",,,,,"  3,500 ","  21,241,000 ",,3,Newaygo,NE Lake Michigan,2,
207,MIG010138,Sand Creek Dairy LLC,Sand Creek Dairy LLC-CAFO,1045 Soloman Rd.,NULL,Hastings,MI,49058,"  1,650 ",,,,,"  1,650 ","  18,062,412 "," $ 637,503 ",0,Barry,SE Lake Michigan,3,
208,MIG010169,Sandy Ridge/Steve Thelen,Sandy Ridge Dairy-CAFO,3901 North Jefferson,NULL,Ionia,MI,48846,  960 ,,,,,  960 ,"  11,912,626 ",,0,Ionia,SE Lake Michigan,3,
209,MIG010106,Scenic View Dairy6,Scenic View-CAFO,1530 and 1510 62nd Street,NULL,Fennville,MI,49408,,,"  10,300 ",,,"  10,300 ","  3,398,513 ",,,Allegan,SE Lake Michigan,6,Scenic View Dairy 1
209,MIG010106,Scenic View Dairy,Scenic View-CAFO,1530 and 1510 62nd Street,NULL,Fennville,MI,49408,"  4,780 ",,,,,"  4,780 ","  26,053,598 "," $ 859,286 ",3,Allegan,SE Lake Michigan,6,Scenic View Dairy 1
